Environment,component,ASG/NON-ASG,instance_id,Instances name,Bootstrap TF code is insync or not ( Y/N),comments,comments,Update user_data manually via console,Keep Backup of original user_data ( if update is manual ),Add the sync script to bootstrap and commit to git,Deploy bootstrap code,upload required pem key to S3,Verify that the sync script is running
,,(Y/N),,,,,,(Y/N),(Y/N),,(Y/N),(Y/N),(Y/N)
DEV,Genie,Y,i-072a22a02f4a26b8c,usw02-dev-genie-as-b-asg,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
PreProd,Genie,Y,i-0a16eae91b8f21753,usw02-stg-mnd-genie-as,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-Ds,Genie,Y,i-050535a51a70df5cb,usw02-prod-pwr-genie-ds-r1-asg,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Genie,Y,i-080e099bca6ee2279,usw02-stage-mnd-genie-as-b-asg,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Genie,Y,i-03eb00cad08f596af,usw02-stage-mnd-genie-as-asg,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DEV,Zookeeper,Y,i-0b72a8b526d0bfbdd,usw02-stage-mnd-zookpr-as-asg-0,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
DEV,Zookeeper,Y,i-0c716721e2682c5eb,usw02-stage-mnd-zookpr-as-asg-1,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
DEV,Zookeeper,Y,i-06fcb52f2083d63d3,usw02-stage-mnd-zookpr-as-asg-2,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
PreProd,Zookeeper,Y,i-056df70f350266768,usw02-stg-mnd-zookeeper-as,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-ds,Zookeeper,Y,i-050535a51a70df5cb,usw02-prod-pwr-genie-ds-r1-asg,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-0734daf5263ff5dda,usw02-stage-mnd-zookeeper-as-asg-0,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-0d3343252542cef48,usw02-stage-mnd-zookeeper-as-asg-1,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-05231f1dc0b601f7e,usw02-stage-mnd-zookeeper-as-asg-2,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-081a57abdbb2741f6,usw02-stage-mnd-zookpr-as-asg-0,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-081a57abdbb2741f6,usw02-stage-mnd-zookpr-as-asg-1,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
Prod-As,Zookeeper,Y,i-0848f5d510b2da0ac,usw02-stage-mnd-zookpr-as-asg-2,N,Looked in Git repo the user data is not sync with live user data. ,Need to update User data manually for my task,,,,,,
